region,chrom,idx,anova_p,f_stat,kruskal_p,h_stat
chr17_35076296_35282086,17,2184,4.6508139025491053e-35,199.02994160802547,8.951085273026802e-17,73.90434359281458
chr17_41062669_41447005,17,2213,1.6169492973759197e-06,15.348406118377298,2.2015579253514246e-06,26.052690600662796
chr17_41458670_41494331,17,2214,5.7191326089154035e-06,13.706823289070476,6.981277753822553e-06,23.7445571973128
chr12_85450052_85962613,12,1678,2.8305444778901238e-06,14.615521056977705,1.2403307773702306e-05,22.59509472996518
chr17_39280577_40847517,17,2210,1.5589541113433367e-05,12.433844105295503,1.583542875045653e-05,22.106521604428277
chr12_64727853_66012212,12,1656,8.636383943523172e-06,13.180411946446956,1.657613135906207e-05,22.01509353452952
chr12_70574871_71644041,12,1664,1.0178816008755656e-05,12.97178378378378,2.722188619775313e-05,21.02297853717592
chr6_135286400_135498058,6,854,1.170937231046951e-05,12.79449310872894,3.0509778057508177e-05,20.79492666736022
chr17_42161364_42296514,17,2219,4.608720383668678e-05,11.087127886487991,3.0622632126491924e-05,20.78754242081446
chr17_38077519_38710043,17,2207,3.635144271785821e-05,11.379390989124806,3.2536922785203774e-05,20.666270055574
chr17_38035466_38070950,17,2206,3.635144271785821e-05,11.379390989124806,3.2536922785203774e-05,20.666270055574
chr12_84542006_85443011,12,1677,1.1827313678545953e-05,12.78182857142857,3.370946298987309e-05,20.595463918273413
chr17_43036086_43085236,17,2223,3.315763571603643e-05,11.493036027263875,3.6248964809794736e-05,20.450199468085057
chr12_72645832_73204852,12,1667,1.305838147356173e-05,12.656841943890845,4.03340172622611e-05,20.23663068852769
chr12_77023447_82859962,12,1674,1.8677395874872858e-05,12.20722358722359,4.466454710297652e-05,20.032661001451668
chr12_85986743_87258350,12,1679,1.6104831089528703e-05,12.393001912045895,4.7868958191176824e-05,19.89408663617883
chr12_70462057_70560603,12,1663,2.024901990080053e-05,12.106180330182017,5.890567615008363e-05,19.479146205357168
chr12_75396411_75693696,12,1672,3.7163725412264874e-05,11.352112858065903,5.924964166279805e-05,19.467501651705174
chr5_70422297_70698794,5,673,2.0478348567953638e-05,12.092109123664901,6.342409015472713e-05,19.331333595594007
chr17_40859120_40926154,17,2211,6.500599014589734e-05,10.666052805905174,6.558996182876258e-05,19.264175789252267
chr6_135204537_135259324,6,852,3.874938776363483e-05,11.300573646026653,6.627510904941331e-05,19.243392320765135
chr12_70379430_70453985,12,1662,2.957193750844777e-05,11.634770889487866,7.094928040023396e-05,19.107090593520258
chr12_73217711_73482351,12,1668,2.9688613629225897e-05,11.629888716720663,7.795472194506183e-05,18.918764775413653
chr17_42301553_42639030,17,2220,0.00011680759589224112,9.955423197492165,7.998518782369105e-05,18.86733818527408
chr12_82881635_83804633,12,1675,4.120214891997429e-05,11.224945476885273,9.16409499630621e-05,18.595264668367335
chr17_43100477_43148025,17,2224,8.611246207741395e-05,10.32403490063015,9.173780616380567e-05,18.59315196541753
chr6_135272442_135280233,6,853,6.500599014589711e-05,10.66605280590518,9.316134329826441e-05,18.56235538758412
chr17_42648686_42873571,17,2221,0.000501428570636802,8.225543398978846,9.58134177415192e-05,18.50621564572517
chr5_69274433_70345552,5,672,6.421809142739383e-05,10.680930916217534,0.00010087790898840929,18.403199188468946
chr12_75706042_77012738,12,1673,4.766655687499054e-05,11.045744934445771,0.00010407875900869428,18.340725294535886
chr5_70716278_70721505,5,674,5.989979638890818e-05,10.765934065934065,0.00011709325372535237,18.105079800493804
chr12_73523915_74655845,12,1669,8.685939639727041e-05,10.313560864618886,0.00012698096241529417,17.94294676996785
chr17_41011530_41041674,17,2212,0.00016603747709576395,9.533081650570676,0.00013557178726051982,17.812018525311803
chr12_51241859_52425218,12,1646,5.825064165022946e-05,10.800059066745419,0.00013988793301711105,17.749337868716253
chr6_135520431_136095714,6,855,7.300884084419316e-05,10.524588278121584,0.00014284311636638018,17.70752723658659
chr12_71710336_71905426,12,1665,6.339735326103004e-05,10.696628579907998,0.00014372570785928877,17.69520776274396
chr12_63574243_64694907,12,1655,0.00013874749580679782,9.74833127595107,0.0001442530329195172,17.687883254717004
chr12_66035532_66948440,12,1657,0.00011737055338036609,9.949628622240821,0.00015607133026068027,17.53039481991745
chr6_131304839_132036965,6,849,0.000107707123227316,10.053267023718437,0.00016314430160054388,17.44175092579808
chr12_88551907_88910171,12,1681,9.022068058924215e-05,10.267536961308586,0.00017296358159970773,17.324858993222783
chr12_68281534_69298703,12,1660,0.0001418917915061696,9.721424323941665,0.00018966533389205836,17.140498878923786
chr12_74728500_75387573,12,1671,0.00010857067620281656,10.043626891590177,0.00020995852401693122,16.937201102869405
chr5_150224239_152555267,5,695,7.535132428766079e-05,10.486166704314432,0.00021086303864816726,16.92860348236306
chr12_74674175_74721164,12,1670,8.685939639727072e-05,10.31356086461888,0.00021182021599711398,16.91954536165832
chr12_83810013_84520659,12,1676,0.0001164636266234277,9.958977751052315,0.00021757738123884488,16.865911989795922
chr17_39139634_39275931,17,2209,0.00035703095925662844,8.624178551583627,0.00022003481819418818,16.843449519230766
chr6_133447975_135173194,6,851,0.00025381934786951576,9.027466666666665,0.00024984016394886575,16.58937837754845
chr12_63340667_63566937,12,1654,0.00027816397071920483,8.918933623503808,0.00028410698939328204,16.33231933505932
